ID,lat,lon
WQR,50.22,-64.20
WQV,48.25,-70.10
WRD,56.55,-115.27
WRK,45.07,-77.87
WRM,52.42,-114.90
WRN,45.35,-60.98
WRR,66.98,-136.22
WRV,53.03,-112.82
WRZ,48.42,-64.32
WSD,46.43,-63.83
WSF,49.25,-65.32
WSG,49.10,-66.65
WSK,49.78,-123.15
WSL,50.70,-119.28
WSS,45.22,-67.25
WST,47.35,-70.02
WSU,49.02,-95.58
WSV,52.13,-119.28
WSY,72.00,-125.27
WSZ,51.08,-97.55
WTA,45.50,-73.57
WTG,49.32,-67.37
WTN,47.07,-70.77
WTX,49.47,-94.77
WUM,62.23,-133.35
WUX,48.28,-70.92
WVI,53.52,-112.10
WVQ,45.42,-73.93
WVT,55.83,-108.43
WVU,44.28,-66.35
WWA,49.33,-123.18
WWB,43.30,-79.80
WWC,58.22,-103.67
WWE,43.98,-64.65
WWK,49.02,-122.78
WWN,54.98,-85.43
WWP,50.65,-99.93
WXA,51.08,-115.07
WXC,48.88,-71.02
WXI,51.02,-57.10
WXP,66.13,-65.70
WXS,47.80,-64.83
WYE,51.48,-107.05
WYI,49.10,-53.57
WYL,51.45,-116.35
WYQ,48.50,-68.47
WYW,50.28,-88.90
WYY,49.02,-119.43
WZA,49.25,-121.77
WZB,47.57,-59.15
WZG,51.18,-115.55
WZN,47.37,-55.78
WZQ,46.55,-61.05
WZW,60.17,-132.73
XAT,72.98,-85.00
XBD,54.08,-114.43
XBI,44.48,-79.55
XBO,46.83,-71.18
XBQ,58.70,-98.50
XCA,49.15,-88.33
XCH,46.63,-60.93
XCK,62.10,-136.18
XDE,65.22,-123.43
XDI,42.87,-80.55
XEA,50.62,-93.22
XGM,44.72,-66.80
XHF,45.83,-75.63
XHI,70.75,-117.80
XIB,46.67,-60.40
XKE,45.00,-75.63
XKI,48.15,-80.00
XKT,45.07,-64.48
XLB,44.37,-64.30
XLT,48.30,-71.12
XMI,44.60,-63.52
XMP,46.30,-63.58
XMY,44.98,-62.48
XND,52.50,-116.03
XNM,46.82,-60.67
XPC,45.33,-80.03
XPS,53.55,-114.12
XRG,42.45,-81.88
XRH,49.57,-57.87
XSH,46.55,-72.73
XTD,45.60,-61.68
XTP,48.55,-53.97
XVN,43.18,-79.40
XWT,47.13,-55.32
XZV,50.22,-66.25
ZHK,68.63,-95.85
ZMJ,50.32,-105.55
ZOC,67.57,-139.83
ZPK,69.35,-124.07
CZSJ,53.07,-93.35
XHM,43.28,-79.90
TWL,42.97,-79.33
XET,44.23,-79.78
TRY,44.03,-80.02
ACP,43.45,-65.47
ABR,44.75,-63.67
ABT,46.42,-64.77
ABF,47.62,-57.62
WRA,46.67,-53.08
ZDB,45.42,-63.47
ADN,46.58,-66.02
AKC,46.77,-65.00
AMS,45.68,-65.15
AMR,48.82,-56.53
ACQ,47.00,-65.45
XNP,45.75,-64.23
WNS,46.37,-60.98
AFY,45.60,-64.95
APR,45.40,-64.33
ARP,47.43,-65.58
ZSP,46.45,-62.57
AJT,48.55,-58.55
AOH,45.22,-63.05
WZS,48.47,-67.43
GBC,49.13,-68.20
WBA,46.70,-79.10
TBT,45.13,-79.40
ZCR,47.98,-66.33
MGB,45.37,-72.77
XKA,49.40,-82.43
WEO,51.87,-63.28
WQH,45.37,-71.82
MNT,50.18,-61.80
TPM,45.87,-77.25
MSI,45.82,-72.53
MMY,46.82,-74.10
GKL,54.80,-66.80
MTH,46.05,-71.27
WTY,46.35,-72.50
GVO,48.05,-77.78
CZMT,54.03,-132.13
CZVL,53.67,-113.85
CBBC,52.18,-128.15
CYRQ,46.35,-72.68
CYWE,64.20,-114.08
AHD,44.65,-63.58
ABB,44.70,-63.63
AHW,44.65,-63.62
WZU,44.63,-63.52
AOS,44.62,-63.42
AHK,44.58,-63.55
ERU,44.75,-64.47
AQY,46.15,-60.03
WGR,47.42,-61.77
AHR,46.35,-63.17
WZF,45.97,-66.65
AFC,45.92,-66.60
KHUL,46.13,-67.78
KCAR,46.87,-68.00
KPQI,46.68,-68.05
WIY,47.15,-67.82
AJW,47.52,-52.78
WVW,48.17,-52.93
AVA,48.67,-53.10
ADS,46.92,-55.38
AWR,47.70,-59.30
ACM,49.32,-57.40
WDA,50.72,-56.10
XZC,51.28,-80.62
WTT,45.27,-72.17
WUK,49.82,-74.97
WQW,50.15,-60.05
MQU,56.55,-76.55
MQP,60.02,-77.33
MQL,60.83,-78.17
MQV,62.42,-77.93
MIN,61.32,-73.67
MQQ,61.05,-69.60
XTO,43.67,-79.40
XHA,42.03,-82.90
TZR,43.00,-82.30
TTR,45.23,-81.63
TPQ,44.35,-78.30
XOA,45.38,-75.72
TRA,49.67,-93.73
WKK,49.68,-88.30
WCJ,48.60,-86.28
TLS,47.72,-84.82
KINL,48.57,-93.40
KBDE,48.72,-94.60
KANJ,46.48,-84.35
CZMD,53.43,-91.77
CYKP,51.67,-85.90
CYLH,52.20,-87.93
CYPO,54.98,-85.45
CYCK,42.30,-82.08
XMN,49.12,-111.65
XWG,49.92,-97.23
PGH,50.63,-97.05
XGH,50.62,-96.97
WOJ,50.83,-98.07
XMD,49.18,-98.08
XDW,49.40,-98.32
PGF,50.52,-95.97
PBD,50.70,-114.15
WZE,49.90,-99.35
WUT,50.45,-100.60
WXB,51.18,-101.37
WZT,51.10,-100.05
PQD,53.97,-101.10
ZKD,56.03,-96.52
PLE,56.85,-101.07
CYBQ,58.70,-98.52
PYQ,58.73,-94.07
WDJ,50.43,-104.67
POX,52.17,-106.72
XBK,50.20,-104.70
WBD,50.55,-103.65
WIK,50.37,-102.57
PJM,49.22,-102.97
WWF,49.70,-103.80
WIW,51.67,-105.40
WRJ,51.57,-107.92
WTS,52.35,-108.83
PQW,52.77,-108.25
PWX,53.12,-109.40
PRJ,51.25,-102.45
WXG,51.42,-105.25
WFF,52.82,-104.60
PUN,52.42,-105.15
ZHB,52.82,-102.32
WAQ,49.05,-105.48
WVC,50.27,-107.73
WLE,50.95,-107.15
WVP,49.65,-109.52
WVN,49.07,-107.58
WMQ,49.90,-109.47
PMK,49.10,-107.02
WSR,53.37,-107.55
PIL,54.02,-109.13
XAR,61.10,-94.07
XBL,64.32,-96.00
XFB,63.75,-68.55
NCD,64.22,-76.52
ZVM,67.55,-64.03
NDT,72.70,-77.95
XUX,68.77,-81.23
XVG,53.13,-115.12
WOV,53.08,-114.43
WPA,53.78,-118.43
WGY,51.67,-110.20
WXL,49.73,-111.45
PIF,55.53,-102.35
XLU,62.42,-110.67
CWIL,68.32,-100.08
WYH,64.12,-117.33
ZGH,66.23,-128.65
ZUB,69.43,-133.02
NBB,68.53,-89.78
XQH,60.12,-128.82
CYIN,51.27,-121.68
XTL,51.67,-124.40
VQZ,53.03,-122.50
VXS,53.88,-122.67
VYD,54.82,-127.18
VSL,53.77,-125.98
XWF,49.12,-117.73
VXC,49.62,-115.78
WGW,49.75,-114.88
VRA,50.95,-118.18
VCW,51.65,-120.08
VKU,49.93,-119.40
VLY,50.22,-121.57
WKF,50.68,-121.93
VAS,50.72,-121.28
WZL,53.03,-131.60
VVR,49.18,-123.18
VPE,49.37,-121.50
WPN,50.30,-122.73
VOC,50.13,-122.95
WKA,49.80,-124.52
VOP,49.83,-124.48
VOU,49.45,-123.70
VTS,48.77,-123.10
WEZ,48.78,-123.03
TUX,44.10,-79.17
WNC,43.95,-78.17
WRO,54.15,-131.65
VZY,55.30,-123.13
VBR,61.37,-139.02
XWN,49.88,-97.12
WNK,49.50,-98.03
PBO,49.90,-99.95
POY,49.33,-99.04
WGX,56.37,-94.70
WJL,60.23,-123.47
CYWY,63.22,-123.43
ZCY,70.48,-68.52
XEC,53.57,-113.52
L1E,43.75,-79.48
L1F,43.82,-79.52
L3C,43.87,-79.03
Z1D,43.67,-79.38
Z1N,43.97,-79.83
Z1W,43.63,-79.65
Z2D,43.63,-79.35
Z2W,43.49,-79.90
Z3E,43.90,-79.32
Z3N,44.52,-79.58
Z4E,43.87,-78.95
Z4N,45.00,-78.67
Z4W,43.20,-79.27
Z5E,43.90,-78.87
Z5N,44.18,-79.67
W5Z,42.97,-79.26
Z1E,43.78,-79.19
Z2E,43.86,-79.31
Z3W,43.25,-79.83
PAZ,50.50,-114.00
WXN,50.18,-113.88
WMM,49.20,-122.68
WUS,49.57,-119.65
BC30,54.05,-128.65
BC44,54.02,-124.02
MB18,52.04,-95.46
MB22,56.47,-99.75
MB37,51.79,-96.71
MB67,55.74,-101.32
NB08,45.83,-64.72
NB15,45.92,-64.39
NB17,46.22,-64.53
NL03,47.17,-55.17
NL05,47.10,-55.77
NT28,64.28,-115.07
NU01,73.03,-84.55
O088,45.31,-79.28
O132,52.99,-87.36
Q038,45.77,-71.93
Q045,48.80,-79.20
Q060,45.13,-71.80
Q072,45.58,-70.88
Q076,45.58,-73.75
Q140,45.28,-72.98
Q168,48.57,-78.12
SK11,49.65,-108.42
YT02,60.17,-134.71
CYAT,52.93,-82.43
